Importer,Year,Value,Ad val. duties,Number of lines,Albania
,(US$),Simple average,MFN duties,Pref. duties,Albania
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Albania
Brazil,0,,,,,,,Albania
,2018,,9.85,9.85,82,,,,Albania
080111 - - Desiccated,,10.00,10.00,1,,,,Albania
080112 - - In the inner shell (endocarp),,10.00,10.00,1,,,,Albania
080119 - - Other,,10.00,10.00,1,,,,Albania
080121 - - In shell,,10.00,10.00,1,,,,Albania
080122 - - Shelled,,10.00,10.00,1,,,,Albania
080131 - - In shell,,10.00,10.00,1,,,,Albania
080132 - - Shelled,,10.00,10.00,1,,,,Albania
080211 - - In shell,,10.00,10.00,1,,,,Albania
080212 - - Shelled,,10.00,10.00,1,,,,Albania
080221 - - In shell,,6.00,6.00,1,,,,Albania
080222 - - Shelled,,2.00,2.00,1,,,,Albania
080231 - - In shell,,10.00,10.00,1,,,,Albania
080232 - - Shelled,,10.00,10.00,1,,,,Albania
080241 - - In shell,,10.00,10.00,1,,,,Albania
080242 - - Shelled,,10.00,10.00,1,,,,Albania
080251 - - In shell,,10.00,10.00,1,,,,Albania
080252 - - Shelled,,10.00,10.00,1,,,,Albania
080261 - - In shell,,10.00,10.00,1,,,,Albania
080262 - - Shelled,,10.00,10.00,1,,,,Albania
080270 - Kola nuts (Cola spp.),,10.00,10.00,1,,,,Albania
080280 - Areca nuts,,10.00,10.00,1,,,,Albania
080290 - Other,,10.00,10.00,1,,,,Albania
080310 - Plantains,,10.00,10.00,1,,,,Albania
080390 - Other,,10.00,10.00,1,,,,Albania
080410 - Dates,,10.00,10.00,2,,,,Albania
080420 - Figs,,10.00,10.00,2,,,,Albania
080430 - Pineapples,,10.00,10.00,1,,,,Albania
080440 - Avocados,,10.00,10.00,1,,,,Albania
"080450 - Guavas, mangoes and mangosteens",,10.00,10.00,3,,,,Albania
080510 - Oranges,,10.00,10.00,1,,,,Albania
080521 - - Mandarins (including tangerines and satsumas),,10.00,10.00,1,,,,Albania
080522 - - Clementines,,10.00,10.00,1,,,,Albania
080529 - - Other,,10.00,10.00,1,,,,Albania
"080540 - Grapefruit, including pomelos",,10.00,10.00,1,,,,Albania
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,10.00,10.00,1,,,,Albania
080590 - Other,,10.00,10.00,1,,,,Albania
080610 - Fresh,,10.00,10.00,1,,,,Albania
080620 - Dried,,10.00,10.00,1,,,,Albania
080711 - - Watermelons,,10.00,10.00,1,,,,Albania
080719 - - Other,,10.00,10.00,1,,,,Albania
080720 - Papaws (papayas),,10.00,10.00,1,,,,Albania
080810 - Apples,,10.00,10.00,1,,,,Albania
080830 - Pears,,10.00,10.00,1,,,,Albania
080840 - Quinces,,10.00,10.00,1,,,,Albania
080910 - Apricots,,10.00,10.00,1,,,,Albania
080921 - - Sour cherries (Prunus cerasus),,10.00,10.00,1,,,,Albania
