Importer,Year,Value,Ad val. duties,Number of lines,European Union
,(US$),Simple average,MFN duties,Pref. duties,European Union
,MFN,Best,All items,Non ad val.,All items,Non ad val.,European Union
Yemen,0,,,,,,,European Union
,2016,,6.41,6.41,32,,,,European Union
"040110 - Of a fat content, by weight, not exceeding 1 %",,10.00,10.00,1,,,,European Union
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,10.00,10.00,1,,,,European Union
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,10.00,10.00,1,,,,European Union
"040150 - Of a fat content, by weight, exceeding 10 %",,10.00,10.00,1,,,,European Union
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,5.00,5.00,1,,,,European Union
040221 -- Not containing added sugar or other sweetening matter,,5.00,5.00,1,,,,European Union
040229 -- Other,,5.00,5.00,1,,,,European Union
040291 -- Not containing added sugar or other sweetening matter,,5.00,5.00,1,,,,European Union
040299 -- Other,,5.00,5.00,1,,,,European Union
040310 - Yogurt,,5.00,5.00,1,,,,European Union
040390 - Other,,5.00,5.00,1,,,,European Union
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,5.00,5.00,1,,,,European Union
040490 - Other,,5.00,5.00,1,,,,European Union
040510 - Butter,,5.00,5.00,1,,,,European Union
040520 - Dairy spreads,,5.00,5.00,1,,,,European Union
040590 - Other,,5.00,5.00,1,,,,European Union
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,5.00,5.00,1,,,,European Union
"040620 - Grated or powdered cheese, of all kinds",,5.00,5.00,1,,,,European Union
"040630 - Processed cheese, not grated or powdered",,5.00,5.00,1,,,,European Union
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,5.00,5.00,1,,,,European Union
040690 - Other cheese,,5.00,5.00,1,,,,European Union
040711 -- Of fowls of the species Gallus domesticus,,5.00,5.00,1,,,,European Union
040719 -- Other,,5.00,5.00,1,,,,European Union
040721 -- Of fowls of the species Gallus domesticus,,5.00,5.00,1,,,,European Union
040729 -- Other,,5.00,5.00,1,,,,European Union
040790 - Others,,5.00,5.00,1,,,,European Union
040811 -- Dried,,5.00,5.00,1,,,,European Union
040819 -- Other,,5.00,5.00,1,,,,European Union
040891 -- Dried,,5.00,5.00,1,,,,European Union
040899 -- Other,,5.00,5.00,1,,,,European Union
040900 Natural honey.,,25.00,25.00,1,,,,European Union
"041000 Edible products of animal origin, not elsewhere specified or included.",,10.00,10.00,1,,,,European Union
,2015,,6.41,6.41,32,,,,European Union
"040110 - Of a fat content, by weight, not exceeding 1 %",,10.00,10.00,1,,,,European Union
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,10.00,10.00,1,,,,European Union
